resistor, 1, 20
resistor, 1K2 20
resistor, 1K5 20
resistor, 1K8 20
resistor, 2K2 20
resistor, 2K7 20
resistor, 3K3 20
resistor, 3K9 20
resistor, 4K7 20
resistor, 5K6 20
resistor, 6K8 20
resistor, 8R2, 20
resistor, 10, 20
resistor, 12, 20
resistor, 15, 20
resistor, 18, 20
resistor, 22, 20
resistor, 27, 20
resistor, 33, 20
resistor, 39, 20
resistor, 47, 20
resistor, 56, 20
resistor, 68, 20
resistor, 82, 20
resistor, 100, 20
resistor, 120, 20
resistor, 150, 20
resistor, 180, 20
resistor, 220, 20
resistor, 270, 20
resistor, 330, 20
resistor, 390, 20
resistor, 470, 20
resistor, 560, 20
resistor, 680, 20
resistor, 820, 20
resistor, 1K, 20
resistor, 1K2, 20
resistor, 1K5, 20
resistor, 1K8, 20
resistor, 2K2, 20
resistor, 2K7, 20
resistor, 3K3, 20
resistor, 3K9, 20
resistor, 4K7, 20
resistor, 5K6, 20
resistor, 6K8, 20
resistor, 8K2, 20
resistor, 10K, 20
resistor, 12K, 20
resistor, 15K, 20
resistor, 18K, 20
resistor, 22K, 20
resistor, 27K, 20
resistor, 33K, 20
resistor, 39K, 20
resistor, 47K, 20
resistor, 56K, 20
resistor, 68K, 20
resistor, 82K, 20
resistor, 100K, 20
resistor, 120K, 20
resistor, 150K, 20
resistor, 180K, 20
resistor, 220K, 20
resistor, 270K, 20
resistor, 330K, 20
resistor, 390K, 20
resistor, 470K, 20
resistor, 560K, 20
resistor, 680K, 20
resistor, 820K, 20
resistor, 1M, 20
